file,loc,functions,classes,category
src/net/csv/obj/Debug/net10.0/.NETCoreApp,Version=v10.0.AssemblyAttributes.cs,4,0,0,product_runtime
src/net/csv/obj/Debug/net10.0/FormatFactory.Csv.AssemblyInfo.cs,24,0,0,product_runtime
src/net/csv/obj/Debug/net10.0/FormatFactory.Csv.GlobalUsings.g.cs,8,0,0,product_runtime
src/net/csv/obj/Release/net10.0/.NETCoreApp,Version=v10.0.AssemblyAttributes.cs,4,0,0,product_runtime
src/net/csv/obj/Release/net10.0/FormatFactory.Csv.AssemblyInfo.cs,24,0,0,product_runtime
src/net/csv/obj/Release/net10.0/FormatFactory.Csv.GlobalUsings.g.cs,8,0,0,product_runtime
src/net/csv/Spec/CsvRecord.cs,26,0,0,product_runtime
src/net/fods/Exceptions/FodsDocumentException.cs,13,0,0,product_runtime
src/net/fods/FodsCsvExporter.cs,291,0,0,product_runtime
src/net/fods/FodsDocument.cs,907,0,0,product_runtime
src/net/fods/FodsDocumentCellProps.cs,687,0,0,product_runtime
src/net/fods/FodsDocumentCellStyle.cs,600,0,0,product_runtime
src/net/fods/FodsDocumentDataAnnotations.cs,511,0,0,product_runtime
src/net/fods/FodsDocumentEditOps.cs,738,0,0,product_runtime
src/net/fods/FodsDocumentExporter.cs,280,0,0,product_runtime
src/net/fods/FodsDocumentExportOps.cs,508,0,0,product_runtime
src/net/fods/FodsDocumentReadOps.cs,893,0,0,product_runtime
src/net/fods/FodsDocumentSheetFeatures.cs,483,0,0,product_runtime
src/net/fods/FodsDocumentWorksheets.cs,45,0,0,product_runtime
src/net/fods/FodsHtmlExporter.cs,201,0,0,product_runtime
src/net/fods/FodsJsonExporter.cs,188,0,0,product_runtime
src/net/fods/FodsOdsExporter.cs,244,0,0,product_runtime
src/net/fods/FodsParser.cs,286,0,0,product_runtime
src/net/fods/FodsPdfExporter.cs,391,0,0,product_runtime
src/net/fods/FodsPngExporter.cs,331,0,0,product_runtime
src/net/fods/FodsStyleEditor.cs,266,0,0,product_runtime
src/net/fods/FodsStyleResolver.cs,346,0,0,product_runtime
src/net/fods/FodsWorksheet.cs,105,0,0,product_runtime
src/net/fods/FodsWorksheetCollection.cs,167,0,0,product_runtime
src/net/fods/FodsWriter.cs,56,0,0,product_runtime
src/net/fods/Model/FodsCell.cs,162,0,0,product_runtime
src/net/fods/Model/FodsOdfCellStyle.cs,58,0,0,product_runtime
src/net/fods/Model/FodsOdfColumnStyle.cs,22,0,0,product_runtime
src/net/fods/Model/FodsOdfRowStyle.cs,21,0,0,product_runtime
src/net/fods/Model/FodsRow.cs,48,0,0,product_runtime
src/net/fods/Model/FodsSheet.cs,49,0,0,product_runtime
src/net/fods/Model/Office/Document.cs,47,0,0,product_runtime
src/net/fods/Model/Office/Spreadsheet.cs,34,0,0,product_runtime
src/net/fods/Model/Style/Style.cs,48,0,0,product_runtime
src/net/fods/Model/Style/TableCellProperties.cs,38,0,0,product_runtime
src/net/fods/Model/Style/TextProperties.cs,38,0,0,product_runtime
src/net/fods/Model/Table/CoveredTableCell.cs,33,0,0,product_runtime
src/net/fods/Model/Table/Table.cs,56,0,0,product_runtime
src/net/fods/Model/Table/TableCell.cs,69,0,0,product_runtime
src/net/fods/Model/Table/TableColumn.cs,38,0,0,product_runtime
src/net/fods/Model/Table/TableRow.cs,44,0,0,product_runtime
src/net/fods/Model/Text/Paragraph.cs,37,0,0,product_runtime
